DA,PIK3CA is frequently mutated in breast cancer cell lines and primary tumors,Yes
DA,Levels of TBXA2R (left) and TBXAS1 (right) and their relationship with tumour grade. * p < 0.05 vs grade 1.,Yes
DA,Evaluation of the toll-like receptor 6 Ser249Pro polymorphism in patients with asthma atopic dermatitis and chronic obstructive pulmonary disease,Yes
DA,Mice expressing Wnt-1 under the control of the enhancer elements in the MMTV long terminal repeat develop extensive hyperplasias of the mammary glands at prepubertal ages mammary tumors at a median age of 6 months and sometimes pulmonary metastases ([14]; Podsypanina K unpublished observations).,Yes
DA,IL-1β remained significantly increased in E/P-selectin mutant joint tissue during the early and chronic phases of arthritis.,Yes
DA,There was no significant difference in respect to serum IL-1β TNF-α and osteocalcin levels while serum IL-2r (p = 0.002) IL-6 (p = 0.001) IL-8 (p = 0.013) PTH (p = 0.029) and CTX (p = 0.021) levels were higher in children with chronic hepatitis B than in healthy controls.,Yes
DA,A considerable variability was observed in KGF-R transcript levels in patients with or without emphysema.,Yes
DA,Neogenin expression may be inversely correlated to the tumorigenicity of human breast cancer,Yes
DA,Paired-samples analysis was used (Student's t-test) to determine whether the difference of PlGF mRNA expression level observed between matched cancer tissue and the normal tissue.,Yes
DA,In contrast coexpression of HIF-1α and CAIX in the epithelium in phyllodes tumors points to epithelial hypoxia most probably caused by relatively distant blood vessels.,Yes
DA,The natural history of EGFR and EGFRvIII in glioblastoma patients,Yes
DA,Not only in hepatic cancer but also for broncho-pulmonary carcinoid cancers TTR was concluded to be a useful marker [23].,Yes
DA,The main results of our study are that: i) KGF and HGF lung expression is preserved in emphysema patients ii) HGF-R and KGF-R mRNA are consistently expressed in the lung of emphysema patients and are not modified by the smoking status iii) HGF mRNA correlates with the severity of airflow obstruction in smokers.,Yes
DA,The present study was conducted to investigate if the LRIG1 gene mRNA or protein was deleted or dysregulated in human breast cancer.,Yes
DA,Pro-inflammatory properties of stromal cell-derived factor-1 (CXCL12) in collagen-induced arthritis,Yes
DA,Relationship between the expression of cyclooxygenase 2 and MDR1/P-glycoprotein in invasive breast cancers and their prognostic significance,Yes
DA,Slot blot analyses of total RNA from endometrial normal (EN) and tumors (EA) tissues using mucin MUC5B cDNA probe.,Yes
DA,Gain of copy number of PIK3CA gene in primary breast cancer cell lines and tumors,Yes
DA,TBXA2R and TBXAS1 transcript levels are differentially linked to tumour differentiation,Yes
DA,Quantitative analysis of TLR2 (A) TLR3 (B) and TLR4 (C) immunostaining in nasal epithelium in biopsies from healthy volunteers (controls) from patients with intermittent allergic rhinitis before nasal allergen challenge and from the same patients after allergen challenge.,Yes
DA,The aims of this study were to determine: 1) The expression pattern of VEGF isoforms at the protein level in colorectal and lung adenocarcinoma in comparison to the pattern in corresponding adjacent normal tissues 2) The relationship between the expression pattern of VEGF and total level of circulating VEGF in the blood to clarify whether the results of measuring circulating VEGF can be used to predict VEGF expression in tumour tissues.,Yes
DA,Membrane androgen receptors are preferentially expressed in prostate carcinomas and their presence is correlated to Gleason's sum.,Yes
DA,These changes occur early in malignancy and are sustained during its progression in the peripheral zone. hZIP1 is also expressed in the malignant cell lines LNCaP PC-3 DU-145; and in the nonmalignant cell lines HPr-1 and BPH-1.,Yes
DA,The molecular function of LRIG1 as a negative regulator of ERBB receptors questions the biological significance of increased LRIG1 copy number in breast cancer.,Yes
